Name,Age,Saison
Juan Mata,24,2011-2012
Obi Mikel,25,2011-2012
Raul Meireles,29,2011-2012
Josh McEachran,19,2011-2012
Yossi Benayoun,32,2011-2012
Lucas Piazón,18,2011-2012
Fernando Torres,28,2011-2012
Didier Drogba,34,2011-2012
Florent Malouda,32,2011-2012
Romelu Lukaku,19,2011-2012
Salomon Kalou,26,2011-2012
Daniel Sturridge,22,2011-2012
Nicolas Anelka,33,2011-2012
André Villas-Boas,34,2011-2012
Petr Cech,31,2012-2013
Ross Turnbull,28,2012-2013
Hilário,37,2012-2013
Jamal Blackman,19,2012-2013
Andreas Christensen,17,2012-2013
Nathaniel Chalobah,18,2012-2013
Todd Kane,19,2012-2013
Paulo Ferreira,34,2012-2013
César Azpilicueta,23,2012-2013
Branislav Ivanovic,29,2012-2013
David Luiz,26,2012-2013
Gary Cahill,27,2012-2013
John Terry,32,2012-2013
Nathan Aké,18,2012-2013
Ashley Cole,32,2012-2013
Ryan Bertrand,23,2012-2013
George Saville,20,2012-2013
Oriol Romeu,21,2012-2013
Ramires,26,2012-2013
Obi Mikel,26,2012-2013
Raul Meireles,30,2012-2013
Juan Mata,25,2012-2013
Oscar,21,2012-2013
Marko Marin,24,2012-2013
Yossi Benayoun,33,2012-2013
Lucas Piazón,19,2012-2013
Frank Lampard,35,2012-2013
Florent Malouda,33,2012-2013
Loftus-Cheek,17,2012-2013
Eden Hazard,22,2012-2013
Fernando Torres,29,2012-2013
Demba Ba,28,2012-2013
Victor Moses,22,2012-2013
Daniel Sturridge,23,2012-2013
Hilário,38,2013-2014
Petr Cech,32,2013-2014
Jamal Blackman,20,2013-2014
Ashley Cole,33,2013-2014
César Azpilicueta,24,2013-2014
Branislav Ivanovic,30,2013-2014
David Luiz,27,2013-2014
Gary Cahill,28,2013-2014
John Terry,33,2013-2014
Nathan Aké,19,2013-2014
Tomás Kalas,21,2013-2014
Ryan Bertrand,24,2013-2014
Obi Mikel,27,2013-2014
Michael Essien,31,2013-2014
Nemanja Matic,25,2013-2014
Nathaniel Chalobah,19,2013-2014
Mohamed Salah,22,2013-2014
Juan Mata,26,2013-2014
Oscar,22,2013-2014
Kevin De Bruyne,23,2013-2014
Willian,25,2013-2014
John Swift,19,2013-2014
Ramires,27,2013-2014
Frank Lampard,36,2013-2014
Marco van Ginkel,21,2013-2014
Lewis Baker,19,2013-2014
Eden Hazard,23,2013-2014
Romelu Lukaku,21,2013-2014
Demba Ba,29,2013-2014
Islam Feruz,18,2013-2014
Victor Moses,23,2013-2014
Fernando Torres,30,2013-2014
Samuel Etoo,33,2013-2014
Bertrand Traoré,18,2013-2014
André Schurrle,23,2013-2014
Petr Cech,33,2014-2015
Thibaut Courtois,23,2014-2015
Mitchell Beeney,19,2014-2015
Matej Delac,22,2014-2015
Jamal Blackman,21,2014-2015
Jake Clarke-Salter,17,2014-2015
Jordan Houghton,19,2014-2015
Branislav Ivanovic,31,2014-2015
César Azpilicueta,25,2014-2015
Todd Kane,21,2014-2015
Kurt Zouma,20,2014-2015
Nathan Aké,20,2014-2015
Gary Cahill,29,2014-2015
John Terry,34,2014-2015
Andreas Christensen,19,2014-2015
Ola Aina,18,2014-2015
Filipe Luís,29,2014-2015
Jay DaSilva,17,2014-2015
Charly Musonda Jr.,18,2014-2015
Charlie Colkett,18,2014-2015
Obi Mikel,28,2014-2015
Nemanja Matic,26,2014-2015
Nathaniel Chalobah,20,2014-2015
Mohamed Salah,23,2014-2015
Willian,26,2014-2015
Juan Cuadrado,27,2014-2015
Oscar,23,2014-2015
Jérémie Boga,18,2014-2015
Lewis Baker,20,2014-2015
Cesc Fàbregas,28,2014-2015
Ramires,28,2014-2015
Loftus-Cheek,19,2014-2015
John Swift,20,2014-2015
Eden Hazard,24,2014-2015
Victor Moses,24,2014-2015
Fernando Torres,31,2014-2015
Didier Drogba,37,2014-2015
Loic Rémy,28,2014-2015
Diego Costa,26,2014-2015
Patrick Bamford,21,2014-2015
Dominic Solanke,17,2014-2015
André Schurrle,24,2014-2015
Izzy Brown,18,2014-2015
Asmir Begovic,29,2015-2016
Thibaut Courtois,24,2015-2016
Jamal Blackman,22,2015-2016
Marco Amelia,34,2015-2016
Kurt Zouma,21,2015-2016
Fikayo Tomori,18,2015-2016
Branislav Ivanovic,32,2015-2016
César Azpilicueta,26,2015-2016
Ola Aina,19,2015-2016
Michael Hector,23,2015-2016
Papy Djilobodji,27,2015-2016
Matt Miazga,20,2015-2016
Gary Cahill,30,2015-2016
John Terry,35,2015-2016
Jake Clarke-Salter,18,2015-2016
Baba Rahman,21,2015-2016
Charlie Colkett,19,2015-2016
Ramires,29,2015-2016
Obi Mikel,29,2015-2016
Nemanja Matic,27,2015-2016
Nathaniel Chalobah,21,2015-2016
Danilo Pantic,19,2015-2016
Juan Cuadrado,28,2015-2016
Oscar,24,2015-2016
Cesc Fàbregas,29,2015-2016
Loftus-Cheek,20,2015-2016
Eden Hazard,25,2015-2016
Loic Rémy,29,2015-2016
Diego Costa,27,2015-2016
Dominic Solanke,18,2015-2016
Kasey Palmer,19,2015-2016
Tammy Abraham,18,2015-2016
Victor Moses,25,2015-2016
Willian,27,2015-2016
Radamel Falcao,30,2015-2016
Alexandre Pato,26,2015-2016
Bertrand Traoré,20,2015-2016
Patrick Bamford,22,2015-2016
Kenedy,20,2015-2016
Pedro Rodríguez,28,2015-2016
Asmir Begovic,30,2016-2017
Thibaut Courtois,25,2016-2017
Eduardo,34,2016-2017
Nathan Baxter,18,2016-2017
Bradley Collins,20,2016-2017
Jamal Blackman,23,2016-2017
Branislav Ivanovic,33,2016-2017
Victor Moses,26,2016-2017
César Azpilicueta,27,2016-2017
Ola Aina,20,2016-2017
Kurt Zouma,22,2016-2017
Nathan Aké,22,2016-2017
Matt Miazga,21,2016-2017
Gary Cahill,31,2016-2017
John Terry,36,2016-2017
Michael Hector,24,2016-2017
David Luiz,30,2016-2017
Fikayo Tomori,19,2016-2017
Marcos Alonso,26,2016-2017
NGolo Kanté,26,2016-2017
Nemanja Matic,28,2016-2017
Nathaniel Chalobah,22,2016-2017
Oscar,25,2016-2017
Cesc Fàbregas,30,2016-2017
Loftus-Cheek,21,2016-2017
Eden Hazard,26,2016-2017
Pedro Rodríguez,29,2016-2017
Willian,28,2016-2017
Diego Costa,28,2016-2017
Michy Batshuayi,23,2016-2017
Tammy Abraham,19,2016-2017
Dominic Solanke,19,2016-2017
Kenedy,21,2016-2017
Willy Caballero,36,2017-2018
Thibaut Courtois,26,2017-2018
Marcin Bulka,18,2017-2018
Eduardo,35,2017-2018
Jake Clarke-Salter,20,2017-2018
Davide Zappacosta,26,2017-2018
César Azpilicueta,28,2017-2018
Dujon Sterling,18,2017-2018
Antonio Rudiger,25,2017-2018
Gary Cahill,32,2017-2018
Andreas Christensen,22,2017-2018
David Luiz,31,2017-2018
Fikayo Tomori,20,2017-2018
Ethan Ampadu,17,2017-2018
Trevoh Chalobah,18,2017-2018
Marcos Alonso,27,2017-2018
Kenedy,22,2017-2018
Emerson Palmieri,23,2017-2018
Cristian Cuevas,23,2017-2018
NGolo Kanté,27,2017-2018
Ross Barkley,24,2017-2018
Hudson-Odoi,17,2017-2018
Cesc Fàbregas,31,2017-2018
Danny Drinkwater,28,2017-2018
Tiémoué Bakayoko,23,2017-2018
Kyle Scott,20,2017-2018
Pedro Rodríguez,30,2017-2018
Victor Moses,27,2017-2018
Charly Musonda Jr.,21,2017-2018
Willian,29,2017-2018
Álvaro Morata,25,2017-2018
Olivier Giroud,31,2017-2018
Michy Batshuayi,24,2017-2018
Eden Hazard,27,2017-2018
Jérémie Boga,21,2017-2018
Robert Green,39,2018-2019
Kepa Arrizabalaga,24,2018-2019
Willy Caballero,37,2018-2019
Bradley Collins,22,2018-2019
Jamie Cumming,19,2018-2019
Marcin Bulka,19,2018-2019
Jared Thompson,20,2018-2019
Michael Hector,26,2018-2019
Gary Cahill,33,2018-2019
Davide Zappacosta,27,2018-2019
César Azpilicueta,29,2018-2019
Antonio Rudiger,26,2018-2019
Andreas Christensen,23,2018-2019
David Luiz,32,2018-2019
Ethan Ampadu,18,2018-2019
Marc Guéhi,18,2018-2019
Marcos Alonso,28,2018-2019
Emerson Palmieri,24,2018-2019
Kasey Palmer,22,2018-2019
Marco van Ginkel,26,2018-2019
Conor Gallagher,19,2018-2019
NGolo Kanté,28,2018-2019
Ross Barkley,25,2018-2019
George McEachran,18,2018-2019
Cesc Fàbregas,32,2018-2019
Jorginho,27,2018-2019
Danny Drinkwater,29,2018-2019
Loftus-Cheek,23,2018-2019
Mateo Kovacic,25,2018-2019
Charly Musonda Jr.,22,2018-2019
Victor Moses,28,2018-2019
Willian,30,2018-2019
Gonzalo Higuaín,31,2018-2019
Olivier Giroud,32,2018-2019
Tammy Abraham,21,2018-2019
Álvaro Morata,26,2018-2019
Eden Hazard,28,2018-2019
Pedro Rodríguez,31,2018-2019
Hudson-Odoi,18,2018-2019
Lucas Piazón,25,2018-2019
Kepa Arrizabalaga,25,2019-2020
Willy Caballero,38,2019-2020
Jamie Cumming,20,2019-2020
Karlo Ziger,19,2019-2020
David Luiz,33,2019-2020
Ethan Ampadu,19,2019-2020
Marc Guéhi,20,2019-2020
Ian Maatsen,18,2019-2020
Davide Zappacosta,28,2019-2020
Reece James,20,2019-2020
César Azpilicueta,30,2019-2020
Tariq Lamptey,19,2019-2020
Antonio Rudiger,27,2019-2020
Andreas Christensen,24,2019-2020
Kurt Zouma,25,2019-2020
Fikayo Tomori,22,2019-2020
Dynel Simeu,18,2019-2020
Marcos Alonso,29,2019-2020
Emerson Palmieri,25,2019-2020
Danny Drinkwater,30,2019-2020
Henry Lawrence,18,2019-2020
Lewis Bate,17,2019-2020
Jorginho,28,2019-2020
NGolo Kanté,29,2019-2020
Mason Mount,21,2019-2020
Tino Anjorin,18,2019-2020
Marco van Ginkel,27,2019-2020
Ross Barkley,26,2019-2020
Loftus-Cheek,24,2019-2020
Mateo Kovacic,26,2019-2020
Billy Gilmour,19,2019-2020
Izzy Brown,23,2019-2020
Iké Ugbo,21,2019-2020
Willian,31,2019-2020
Tammy Abraham,22,2019-2020
Olivier Giroud,33,2019-2020
Michy Batshuayi,26,2019-2020
Armando Broja,18,2019-2020
Pedro Rodríguez,33,2019-2020
Kenedy,24,2019-2020
Hudson-Odoi,19,2019-2020
Christian Pulisic,21,2019-2020
